apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
12,4,4,228,3-CM,5,125.93,24.27,כן,9.23,2,מזרח/צפון/דרום,"1,876,088 ₪",,,B4-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
13,4,4,228,3-DM,5,127.03,24.29,כן,9.15,2,מערב/דרום,"1,890,141 ₪",,,B4-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
14,4,4,228,3-EM,3,82.34,20.64,כן,9.74,2,מערב/צפון/מזרח,"1,192,558 ₪",,,B4-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
15,4,5,228,3-CM,5,125.93,24.27,כן,9.25,2,מזרח/צפון/דרום,"1,876,212 ₪",,,B4-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
16,4,5,228,3-FM,5,155.37,100.78,לא,10.17,2,צפון/מערב/דרום,,,,B4-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
17,4,6,228,3-GM,5,184.11,126.56,לא,9.96,2,מזרח/מערב/דרום/צפון,,,,B4-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
1,5,קרקע,228,3-H,5,127.69,264.43,לא,9.70,2,מערב/צפון/דרום,,,,B5-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
2,5,קרקע,228,3-I,5,127.48,251.93,לא,10.36,2,מזרח/דרום,,,,B5-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
3,5,1,228,3-C,5,125.93,24.27,כן,7.57,2,מערב/צפון/דרום,"1,865,823 ₪",,,B5-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
4,5,1,228,3-D,5,127.03,24.29,כן,7.01,2,מזרח/דרום,"1,876,908 ₪",,,B5-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
5,5,1,228,3-E,3,82.34,20.64,כן,8.38,2,מזרח/צפון/מערב,"1,185,830 ₪",,,B5-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
6,5,2,228,3-C,5,125.93,24.27,כן,7.59,2,מערב/צפון/דרום,"1,865,947 ₪",,,B5-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
7,5,2,228,3-D,5,127.03,24.29,כן,7.10,2,מזרח/דרום,"1,877,464 ₪",,,B5-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
8,5,2,228,3-E,3,82.34,20.64,כן,8.99,2,מזרח/צפון/מערב,"1,188,848 ₪",,,B5-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
9,5,3,228,3-C,5,125.93,24.27,כן,7.75,2,מערב/צפון/דרום,"1,866,936 ₪",,,B5-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
10,5,3,228,3-D,5,127.03,24.29,כן,7.13,2,מזרח/דרום,"1,877,650 ₪",,,B5-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
11,5,3,228,3-E,3,82.34,20.64,כן,9.05,2,מזרח/צפון/מערב,"1,189,145 ₪",,,B5-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
